(1166 , 953)
(1167 , 952)
(1171 , 950)
(1171 , 951)
(1172 , 949)
(1173 , 949)
(1174 , 949)
(1175 , 948)
(1176 , 948)
(1186 , 945)
(1187 , 945)
(1188 , 945)
(1201 , 940)
(1202 , 939)
(1203 , 939)
(1204 , 938)
(1204 , 939)
(1205 , 938)
(1206 , 938)
(1207 , 937)
(1208 , 937)
(1209 , 936)
(1210 , 936)
(1211 , 935)
(1212 , 935)
(1213 , 934)
(1214 , 934)
(1219 , 930)
(1220 , 930)
(1221 , 929)
(1221 , 930)
(1222 , 929)
(1223 , 929)
(1224 , 928)
(1225 , 928)
(1226 , 927)
(1226 , 928)
(1227 , 927)
(1228 , 926)
(1229 , 926)
(1230 , 925)
(1231 , 925)
(1232 , 924)
(1233 , 923)
(1234 , 923)
(1235 , 922)
(1236 , 921)
(1236 , 922)
(1237 , 921)
(1238 , 920)
(1238 , 921)
(1239 , 920)
(1240 , 920)
(1241 , 919)
(1242 , 919)
(1243 , 918)
(1244 , 918)
(1245 , 917)
(1246 , 917)
(1247 , 916)
(1248 , 916)
(1249 , 915)
(1250 , 914)
(1250 , 915)
(1251 , 914)
(1252 , 913)
(1252 , 914)
(1253 , 913)
(1254 , 913)
(1255 , 913)
(1256 , 912)
(1258 , 911)
(1259 , 910)
(1260 , 910)
(1261 , 910)
(1262 , 909)
(1263 , 908)
(1264 , 908)
(1265 , 908)
