(1264 , 155)
(1470 , 157)
(1263 , 159)
(1036 , 162)
(687 , 181)
(769 , 220)
(1421 , 232)
(773 , 236)
(775 , 253)
(1412 , 256)
(1410 , 260)
(566 , 312)
(1943 , 332)
(1942 , 334)
(1941 , 336)
(1940 , 338)
(526 , 340)
(2030 , 346)
(1606 , 365)
(1601 , 376)
(1780 , 408)
(719 , 424)
(293 , 510)
(193 , 531)
(273 , 590)
(1035 , 626)
(1033 , 630)
(1203 , 713)
(1495 , 713)
(1497 , 714)
(1499 , 715)
(1501 , 716)
(440 , 721)
(586 , 812)
(667 , 847)
(932 , 869)
(841 , 870)
(931 , 876)
(928 , 890)
(923 , 907)
(1029 , 909)
(1214 , 934)
(1010 , 943)
(1167 , 952)
(995 , 953)
(1165 , 953)
